DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60201835;Zentralfriedhof Gruppe 142;Wien;49000001;16.4478564;48.1421728
60201836;Zentralfriedhof Gruppe 66;Wien;49000001;16.4459789;48.143995
60201837;Zentralfriedhof Gruppe 84;Wien;49000001;16.4424845;48.1424785
60201838;Zentralfriedhof Tor 9/Gruppe 82;Wien;49000001;16.4391966;48.1438572
60201839;Zentralfriedhof Kriegsgräber;Wien;49000001;16.4358549;48.1454876
60201840;Zentralfriedhof Kriegsgräber 1.WK;Wien;49000001;16.43369;48.1465125
60201841;Zentralfriedhof Gruppe 78;Wien;49000001;16.4302404;48.1482807
60201842;Zentralfriedhof Gruppe 74;Wien;49000001;16.4327198;48.1504803
60201843;Zentralfriedhof Gruppe 47;Wien;49000001;16.4350464;48.1526258
60201844;Zentralfriedhof Gruppe 11;Wien;49000001;16.4375887;48.1549151
60201846;Phillipsgasse;Wien;49000001;16.3088781;48.189566
60201847;Weinzierlgasse;Wien;49000001;16.2957537;48.192177
60201848;Praterstern, Lassallestraße;Wien;49000001;16.3938227;48.2196208
60201850;Altmannsdorfer Straße;Wien;49000001;16.3150944;48.1644548
60201851;Franz-Sebek-Straße;Wien;49000001;16.4230449;48.2697708
60201852;Eckartsaugasse;Wien;49000001;16.3157502;48.1666058
60201853;Hanusch-Krankenhaus;Wien;49000001;16.2937774;48.1988118
60201854;Zinnergasse, Kaserne;Wien;49000001;16.4753628;48.1673727
60201855;Wienflussaufsicht;Wien;49000001;16.2331231;48.2063019
60201856;Iselgasse;Wien;49000001;16.4569294;48.2834558
60201857;Am Schöpfwerk, Eibesbrunnerg.;Wien;49000001;16.3299705;48.1605301
60201858;Aderklaaer Straße;Wien;49000001;16.4516383;48.2635698
60201859;Großfeldsiedlung;Wien;49000001;16.448072;48.2706318
60201860;Rennbahnweg;Wien;49000001;16.4494464;48.257356
60201861;Kürschnergasse;Wien;49000001;16.4462754;48.2762042
60201862;Anton-Sattler-Gasse;Wien;49000001;16.4430504;48.2542339
60201863;Hirschstettner Straße;Wien;49000001;16.4627774;48.2353597
60201864;Leopoldau S+U/Möllplatz;Wien;49000001;16.4487457;48.2776391
60201865;Weinheimergasse;Wien;49000001;16.3111867;48.2136771
60201866;Stammersdorfer Straße/Brünner Straße;Wien;49000001;16.4207632;48.2987148
60201867;Aspernallee, Schule;Wien;49000001;16.4439847;48.1968418
60201868;Steinhagegasse;Wien;49000001;16.3406335;48.1848825
60201869;Josef-Prangl-Straße;Wien;49000001;16.3563899;48.1345894
60201871;Pierre-de-Coubertin-Platz;Wien;49000001;16.4180683;48.2060864
60201872;Inzersdorfer Str., Bernhardtstalgasse;Wien;49000001;16.3611959;48.1731541
60201873;Kainachgasse;Wien;49000001;16.4482966;48.281776
60201874;Stadlauer Brücke;Wien;49000001;16.4387295;48.2002608
60201875;Kleine Stadtgutgasse;Wien;49000001;16.388909;48.2196029
60201876;Volkertplatz;Wien;49000001;16.3856121;48.2227451
60201878;Pichlgasse;Wien;49000001;16.4884692;48.2509202
60201880;Arbeitergasse, Gürtel;Wien;49000001;16.3448825;48.1855653
60201881;Welthandelsplatz;Wien;49000001;16.4051595;48.2154849
60201882;Nußdorf Friedhof;Wien;49000001;16.3581327;48.2604121
60201883;Heiligenstädter Friedhof;Wien;49000001;16.3463827;48.2600174
