pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"at:47:2184:22_at:47:2184:14_walkway_1","at:47:2184:22","at:47:2184:14","1","1","180"
"at:47:2184:22_at:47:2184:0:21_walkway_1","at:47:2184:22","at:47:2184:0:21","1","1","240"
"at:47:2184:0:21_at:47:2184:14_walkway_1","at:47:2184:0:21","at:47:2184:14","1","1","120"
"at:47:2184:0:21_at:47:2184:35_stairs_1","at:47:2184:0:21","at:47:2184:35","2","1","90"
"at:47:2184:0:21_at:47:2184:36_stairs_1","at:47:2184:0:21","at:47:2184:36","2","1","204"
"at:47:2184:0:21_at:47:2184:36_elevator_1","at:47:2184:0:21","at:47:2184:36","5","1","210"
"at:47:2184:0:18_at:47:2184:35_stairs_1","at:47:2184:0:18","at:47:2184:35","2","1","84"
"at:47:2184:0:13_at:47:2184:35_stairs_1","at:47:2184:0:13","at:47:2184:35","2","1","84"
"at:47:2184:0:18_at:47:2184:35_elevator_1","at:47:2184:0:18","at:47:2184:35","5","1","90"
"at:47:2184:0:13_at:47:2184:35_elevator_1","at:47:2184:0:13","at:47:2184:35","5","1","90"
"at:47:2184:2_at:47:2184:11_walkway_1","at:47:2184:2","at:47:2184:11","1","1","180"
"at:47:2184:2_at:47:2184:14_walkway_1","at:47:2184:2","at:47:2184:14","1","1","60"
"at:47:2184:2_at:47:2184:36_elevator_1","at:47:2184:2","at:47:2184:36","5","1","150"
"at:47:2184:35_at:47:2184:14_stairs_1","at:47:2184:35","at:47:2184:14","2","1","84"
"at:47:2184:35_at:47:2184:14_elevator_1","at:47:2184:35","at:47:2184:14","5","1","90"
"at:47:2184:36_at:47:2184:13_walkway_1","at:47:2184:36","at:47:2184:13","1","1","150"
"at:47:2184:36_at:47:2184:14_stairs_1","at:47:2184:36","at:47:2184:14","2","1","150"
"at:47:2184:36_at:47:2184:10_stairs_1","at:47:2184:36","at:47:2184:10","2","1","150"
"at:47:2184:11_at:47:2184:14_walkway_1","at:47:2184:11","at:47:2184:14","1","1","180"
"at:47:2184:12_at:47:2184:14_walkway_1","at:47:2184:12","at:47:2184:14","1","1","180"
"at:47:2184:0:18_at:47:2184:0:13_walkway_1","at:47:2184:0:18","at:47:2184:0:13","1","1","180"
"at:45:50002:0:4_at:45:50002:9_stairs_1","at:45:50002:0:4","at:45:50002:9","2","1","120"
"at:45:50002:0:4_at:45:50002:9_escalator_1","at:45:50002:0:4","at:45:50002:9","4","1","120"
"at:45:50002:0:4_at:45:50002:9_elevator_1","at:45:50002:0:4","at:45:50002:9","5","1","120"
"at:45:50002:2_at:45:50002:3_walkway_1","at:45:50002:2","at:45:50002:3","1","1","300"
"at:45:50002:2_at:45:50002:5_walkway_1","at:45:50002:2","at:45:50002:5","1","1","120"
"at:45:50002:2_at:45:50002:6_walkway_1","at:45:50002:2","at:45:50002:6","1","1","240"
"at:45:50002:2_at:45:50002:15_stairs_1","at:45:50002:2","at:45:50002:15","2","1","120"
"at:45:50002:2_at:45:50002:15_escalator_1","at:45:50002:2","at:45:50002:15","4","1","120"
"at:45:50002:3_at:45:50002:5_walkway_1","at:45:50002:3","at:45:50002:5","1","1","240"
"at:45:50002:3_at:45:50002:20_walkway_1","at:45:50002:3","at:45:50002:20","1","1","300"
"at:45:50002:3_at:45:50002:23_walkway_1","at:45:50002:3","at:45:50002:23","1","1","300"
"at:45:50002:3_at:45:50002:25_walkway_1","at:45:50002:3","at:45:50002:25","1","1","180"
"at:45:50002:4_at:45:50002:15_stairs_1","at:45:50002:4","at:45:50002:15","2","1","120"
